Entity,Code,Mean male height (cm),Mean female height (cm),Mean BMI (kg/m) (age-standardized estimate) - Sex: male - Age group: 18+  years of age,Mean BMI (kg/m),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population)
Afghanistan,AFG,165.31921319,155.31242386,22.6,24.1,59.12690224,24.10000000000000
Albania,ALB,173.6347157,161.86684566,27,26.3,76.39089034,10.80000000000000
Algeria,DZA,170.71608252,159.25282423,24.7,26.4,75.97765182,18.30000000000000
American Samoa,ASM,176.06974562,164.58400421,,,,
Andorra,AND,175.94719106,162.77095847,27.3,26.1,,2.50000000000000
Angola,AGO,168.111631,157.66343062,22.3,24.3,62.13113467,15.00000000000000
Antigua and Barbuda,ATG,172.6136061,160.73231845,25.7,27.7,76.91527032,7.50000000000000
Argentina,ARG,174.37505959,159.29056059,27.8,27.6,74.56898059,8.80000000000000
Armenia,ARM,172.21825334,158.2336109,25.6,27,72.98458202,13.60000000000000
Australia,AUS,179.16014967,165.62564639,27.6,26.7,83.10183853,4.50000000000000
Austria,AUT,177.5399063,164.78304505,26.5,24.6,80.99297519,4.60000000000000
Azerbaijan,AZE,170.3640493,158.46298367,26.1,27.9,72.9129401,17.20000000000000
Bahamas,BHS,172.65299793,160.75329061,27.1,28.8,70.43274063,16.20000000000000
Bahrain,BHR,168.12709761,156.85233469,24.8,24.8,74.38371772,8.10000000000000
Bangladesh,BGD,163.90571755,150.84833369,21.3,22,73.10251672,18.60000000000000
Barbados,BRB,175.8486389,165.10641326,26.4,29.2,76.8418344,10.00000000000000
Belarus,BLR,178.27167637,166.12280266,26.4,26.6,73.12324771,7.40000000000000
Belgium,BEL,181.19515542,165.44493008,26.6,25.6,81.5059627,4.60000000000000
Belize,BLZ,168.68517435,156.87161139,27.5,30.5,73.32055336,17.50000000000000
Benin,BEN,168.08470814,156.93765278,22.6,24.5,64.01268515,24.80000000000000
Bermuda,BMU,172.59915252,160.76272363,,,,
Bhutan,BTN,165.0498838,153.64780543,23.5,24.5,74.87642848,12.20000000000000
Bolivia,BOL,166.75416446,153.52802462,25.3,27.7,65.41062535,17.60000000000000
Bosnia and Herzegovina,BIH,180.98744778,166.27655103,26.4,25.1,74.84944487,13.70000000000000
Botswana,BWA,172.15712708,161.65976045,22.5,26.1,61.23119159,16.50000000000000
Brazil,BRA,173.13744856,160.34012206,26.3,26.8,72.38840694,15.70000000000000
Brunei,BRN,164.82080128,153.7736505,27.2,27.2,76.92260844,3.60000000000000
Bulgaria,BGR,178.24935464,164.79191096,27.1,25.7,71.30586,8.40000000000000
Burkina Faso,BFA,170.04779246,160.66261874,22.2,22.1,62.29728841,27.80000000000000
Burundi,BDI,167.32623007,154.51178998,21.8,21.6,64.00694993,12.30000000000000
Cambodia,KHM,163.21760131,152.92656914,22.1,22.3,68.92399972,18.80000000000000
Cameroon,CMR,168.8311044,159.27534837,23.6,25.1,61.76934896,10.60000000000000
Canada,CAN,177.93796737,163.7441495,27.3,26.6,81.58276248,4.70000000000000
Cape Verde,CPV,173.71575008,161.82616446,23.7,25.3,73.16097765,16.50000000000000
Central African Republic,CAF,167.47820888,158.34042087,22,23.7,52.30772755,25.90000000000000
Chad,TCD,171.26308003,160.75631351,21.9,21.9,59.08581443,26.40000000000000
Chile,CHL,171.59568257,158.98313517,27.8,28.1,79.02404788,10.30000000000000
China,CHN,171.30325166,159.38142497,24.2,23.5,77.61619672,17.40000000000000
Colombia,COL,169.35083374,156.57033749,25.8,26.6,74.53297363,16.20000000000000
Comoros,COM,166.58931373,155.69733977,23.3,25.6,67.4970386,29.00000000000000
Congo,COG,168.31036551,157.87326569,22.3,24.1,63.17262301,8.40000000000000
Cook Islands,COK,174.98783682,163.49362087,32.7,33.1,,17.60000000000000
Costa Rica,CRI,168.96985312,156.25988566,26.8,27.9,78.63053412,15.50000000000000
Cote d'Ivoire,CIV,167.52871935,158.52438164,23.4,24.2,63.5174083,20.60000000000000
Croatia,HRV,180.50224326,165.73102816,28,26.8,76.8616792,8.10000000000000
Cuba,CUB,171.73244319,158.39666394,25.2,26,73.67333077,5.40000000000000
Cyprus,CYP,174.93172004,162.16106929,27.5,26,81.912741,3.90000000000000
Czechia,CZE,180.10964729,168.22383914,27.9,26.2,77.07730392,5.20000000000000
Democratic Republic of Congo,COD,167.65019769,155.80135686,21.3,22.6,61.62552641,16.30000000000000
Denmark,DNK,181.29136588,167.35677353,26.2,24.4,81.18400442,2.30000000000000
Djibouti,DJI,167.26663763,156.40939127,23.4,24.6,64.87227149,23.30000000000000
Dominica,DMA,176.07397713,164.31647455,25,29,,11.00000000000000
Dominican Republic,DOM,172.37464997,158.77756037,25.5,27.4,73.32102758,27.40000000000000
East Timor,TLS,160.16845159,151.26884542,21.3,21.3,67.99671222,12.00000000000000
