Country,Code,Mean male height (cm),Mean female height (cm),Mean male BMI (kg/m_2),Mean female BMI (kg/m_2),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Total alcohol per capita (more 15 years of age) consumption (litres of pure alcohol),Density of medical doctors (per 10 000 population),Age-standardized prevalence of tobacco use among persons 15 years and older  (%),Happiness - Life evaluation (3-year average),Cost of Living Index,Price To Income Ratio
Afghanistan,AFG,165.31921319,155.31242386,22.6,24.1,59.12690224,24.10000000000000,8.32506950300000,0.00794198000000,3.17000000000000,22.70000000000000,1.364,21.1,
Albania,ALB,173.6347157,161.86684566,27,26.3,76.39089034,10.80000000000000,3.40201406500000,4.97477125000000,18.79000000000000,21.90000000000000,5.411,45.8,15.1
Algeria,DZA,170.71608252,159.25282423,24.7,26.4,75.97765182,18.30000000000000,1.64118165000000,0.45506227800000,16.60000000000000,21.20000000000000,5.571,28.0,16.5
American Samoa,ASM,176.06974562,164.58400421,,,,,,,,,,,
Andorra,AND,175.94719106,162.77095847,27.3,26.1,,2.50000000000000,,11.06119968300000,50.68000000000000,36.30000000000000,,55.1,
Angola,AGO,168.111631,157.66343062,22.3,24.3,62.13113467,15.00000000000000,8.66682434200000,3.98150658000000,2.44000000000000,,,42.3,
Antigua and Barbuda,ATG,172.6136061,160.73231845,25.7,27.7,76.91527032,7.50000000000000,5.82105275100000,9.42532032000000,29.17000000000000,,,,
Argentina,ARG,174.37505959,159.29056059,27.8,27.6,74.56898059,8.80000000000000,5.93905272600000,8.84067851400000,51.06000000000000,23.80000000000000,6.397,41.3,13.7
Armenia,ARM,172.21825334,158.2336109,25.6,27,72.98458202,13.60000000000000,4.13612749900000,4.29972430400000,33.60000000000000,24.90000000000000,5.494,40.9,19.4
Australia,AUS,179.16014967,165.62564639,27.6,26.7,83.10183853,4.50000000000000,0.90910353300000,11.15163725200000,40.86000000000000,13.10000000000000,6.974,67.9,8.2
Austria,AUT,177.5399063,164.78304505,26.5,24.6,80.99297519,4.60000000000000,0.49435409800000,11.84939309100000,55.15000000000000,24.90000000000000,6.810,71.3,9.9
Azerbaijan,AZE,170.3640493,158.46298367,26.1,27.9,72.9129401,17.20000000000000,2.45762208600000,2.32101726200000,31.85000000000000,19.60000000000000,4.875,30.7,18.3
Bahamas,BHS,172.65299793,160.75329061,27.1,28.8,70.43274063,16.20000000000000,44.59841202000000,6.90803233700000,18.95000000000000,11.30000000000000,,98.8,
Bahrain,BHR,168.12709761,156.85233469,24.8,24.8,74.38371772,8.10000000000000,0.27223713800000,1.66028868500000,7.41000000000000,15.00000000000000,6.030,47.6,5.2
Bangladesh,BGD,163.90571755,150.84833369,21.3,22,73.10251672,18.60000000000000,2.85914213300000,0.00288005900000,7.22000000000000,32.90000000000000,3.851,22.8,13.9
Barbados,BRB,175.8486389,165.10641326,26.4,29.2,76.8418344,10.00000000000000,12.69334526000000,9.49429899000000,29.58000000000000,7.00000000000000,,,
Belarus,BLR,178.27167637,166.12280266,26.4,26.6,73.12324771,7.40000000000000,2.19511163100000,11.40404110900000,47.17000000000000,30.10000000000000,,30.5,10.7
Belgium,BEL,181.19515542,165.44493008,26.6,25.6,81.5059627,4.60000000000000,1.22565426800000,8.74277214000000,65.25000000000000,26.70000000000000,6.910,68.6,6.1
Belize,BLZ,168.68517435,156.87161139,27.5,30.5,73.32055336,17.50000000000000,38.26885667000000,5.06801158300000,10.86000000000000,8.80000000000000,6.711,46.9,
Benin,BEN,168.08470814,156.93765278,22.6,24.5,64.01268515,24.80000000000000,5.77816047800000,6.98010681100000,2.16000000000000,6.30000000000000,4.357,,
Bermuda,BMU,172.59915252,160.76272363,,,,,,,,,,135.8,
Bhutan,BTN,165.0498838,153.64780543,23.5,24.5,74.87642848,12.20000000000000,3.03188341800000,4.44410833600000,5.53000000000000,18.70000000000000,,,
Bolivia,BOL,166.75416446,153.52802462,25.3,27.7,65.41062535,17.60000000000000,10.74405005000000,3.61147930200000,12.84000000000000,12.40000000000000,5.868,27.3,11.7
Bosnia and Herzegovina,BIH,180.98744778,166.27655103,26.4,25.1,74.84944487,13.70000000000000,1.40636923600000,6.32886382200000,25.84000000000000,36.20000000000000,6.136,38.7,12.9
Botswana,BWA,172.15712708,161.65976045,22.5,26.1,61.23119159,16.50000000000000,15.35268890000000,6.04348660500000,3.79000000000000,18.70000000000000,3.438,32.6,
Brazil,BRA,173.13744856,160.34012206,26.3,26.8,72.38840694,15.70000000000000,32.33923534000000,9.38200657300000,23.57000000000000,12.20000000000000,6.494,30.1,15.2
Brunei,BRN,164.82080128,153.7736505,27.2,27.2,76.92260844,3.60000000000000,0.82286879300000,0.70604690600000,18.86000000000000,16.40000000000000,,48.2,
Bulgaria,BGR,178.24935464,164.79191096,27.1,25.7,71.30586,8.40000000000000,1.07501613700000,11.54150287600000,43.28000000000000,39.50000000000000,5.554,41.6,8.4
Burkina Faso,BFA,170.04779246,160.66261874,22.2,22.1,62.29728841,27.80000000000000,9.29278770500000,7.45726758700000,1.48000000000000,14.30000000000000,4.383,,
Burundi,BDI,167.32623007,154.51178998,21.8,21.6,64.00694993,12.30000000000000,6.50813436100000,4.53604242300000,0.78000000000000,11.20000000000000,,,
